확정출주표,,,,,,,,,,,,,,,,,,,
2024년 09월 04일 36회 1일차,,,,,,,,,,,,,,,,,,,
제 01경주  (신인일반  11:40    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
3,B2,3,박설희,여,42,59,3.74,3.58,5.3,5.3,15.8,0.25,4444 4554,5.17,28.6,F0L0,0.1,,
4,B1,5,이종인,남,46,56,4.39,4.19,5.6,16.7,50.0,0.37,4633 5621,4.31,20.4,F0L0,0.25,13,
5,B1,1,권명호,남,55,57,4.21,3.66,10.5,31.6,36.8,0.26,2615 5255,4.13,26.9,F0L0,0.43,15,
6,A2,7,배혜민,남,43,56,4.90,4.64,14.3,38.1,47.6,0.27,5662 3242,5.51,41.2,F0L0,0.17,17,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,류해광,47,71.4/7,60.0/10,62.5/8,44.4/9,14.3/7,00.0/6,096,5.63,40.0,57.1,반혜진/515,이현준/21,110,4.61,13.0,,
2,조성인,44,100.0/7,71.4/7,62.5/8,75.0/8,20.0/5,55.6/9,037,5.13,36.7,43.3,류해광/125,김민길/114,082,4.44,6.3,,
3,박설희,21,25.0/4,25.0/4,00.0/3,00.0/4,00.0/3,00.0/3,012,5.22,30.4,43.5,정훈민/425,이택근/142,026,5.07,33.3,,
4,이종인,33,20.0/5,16.7/6,25.0/4,20.0/5,14.3/7,16.7/6,072,4.77,26.7,46.7,손지영/53,정주현/261,102,5.25,31.3,,
5,권명호,34,83.3/6,16.7/6,40.0/5,16.7/6,00.0/5,16.7/6,103,5.00,38.7,48.4,이용세/236,송효범/561,064,4.23,19.2,,
6,배혜민,40,100.0/6,42.9/7,16.7/6,14.3/7,25.0/8,16.7/6,028,6.29,45.2,67.7,한성근/66,이승일/4224,074,4.78,34.4,,
제 06경주  (일반  13:35    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,A1,8,이동준,남,39,56,6.60,6.55,20.0,50.0,75.0,0.19,3124 1221,6.47,44.1,F0L0,0.05,17,
2,A2,1,김창규,남,53,58,4.80,4.58,5.0,25.0,55.0,0.23,5323 5525,5.45,33.9,F0L0,0.35,16,
3,B1,9,홍기철,남,42,68,4.53,4.00,6.7,26.7,46.7,0.21,0646 6332,4.51,19.5,F0L0,1.25,15,
4,B1,14,서종원,남,35,61,4.11,4.06,16.7,22.2,38.9,0.34,6356 6523,3.98,18.6,F0L0,0.06,14,
5,B2,16,손유정,여,33,54,6.00,5.90,33.3,46.7,60.0,0.29,1565 1124,5.07,26.2,F0L0,0.15,,
6,A2,6,김동민,남,46,54,3.94,3.85,17.6,17.6,41.2,0.29,6331 5611,5.14,33.9,F0L0,0.1,,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,이동준,47,75.0/8,71.4/7,44.4/9,33.3/6,12.5/8,11.1/9,057,4.41,25.0,37.5,정경호/633,조규태/4436,097,4.11,22.9,,
2,김창규,45,87.5/8,28.6/7,16.7/6,25.0/8,14.3/7,00.0/9,011,6.22,61.1,61.1,조성인/56,김미연/221,009,6.31,51.7,,
3,홍기철,28,40.0/5,00.0/4,50.0/4,40.0/5,16.7/6,00.0/4,109,7.06,58.8,70.6,이현준/112,반혜진/611,055,4.20,30.0,부상 후 출전,
4,서종원,36,33.3/6,60.0/5,20.0/5,00.0/7,14.3/7,00.0/6,008,5.38,38.2,52.9,박준호/465,이 인/225,096,4.13,15.6,,
5,손유정,24,60.0/5,33.3/3,25.0/4,20.0/5,00.0/3,00.0/4,051,5.69,41.4,58.6,심상철/2136,박준현/5214,106,4.07,14.8,,
6,김동민,40,33.3/6,57.1/7,00.0/7,62.5/8,00.0/7,20.0/5,009,4.83,19.4,52.8,김기한/352,원용관/054,068,4.39,21.2,,
제 07경주  (일반  13:58    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,A2,10,김태규,남,40,59,3.20,2.80,0.0,5.0,20.0,0.22,4542 4465,4.60,20.7,F0L0,0.22,16,
2,B1,9,신현경,여,44,51,3.84,3.58,5.3,15.8,26.3,0.20,6223 4443,4.20,23.3,F0L0,0.25,,
3,B2,2,김종민,남,47,55,6.72,5.67,16.7,61.1,77.8,0.14,3222 2241,6.89,59.6,F0L0,0.25,15,
4,B1,8,김동경,남,45,57,4.74,4.42,5.3,21.1,42.1,0.30,2344 3556,4.00,11.1,F0L0,0.31,17,
5,A2,7,장수영,남,44,56,4.74,4.29,5.3,15.8,47.4,0.20,4325 4344,5.44,29.2,F0L0,0.27,,
6,B2,1,길현태,남,48,58,7.14,7.11,21.4,57.1,71.4,0.17,2113 2244,4.97,31.6,F0L0,0,,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,김태규,45,28.6/7,22.2/9,12.5/8,33.3/6,12.5/8,14.3/7,108,4.51,28.6,42.9,이종인/463,홍진수/145,050,4.03,13.8,,
2,신현경,37,66.7/6,50.0/6,33.3/6,00.0/7,00.0/6,16.7/6,006,5.67,41.7,52.8,한성근/511,오세준/4654,046,5.72,44.0,,
3,김종민,25,66.7/3,80.0/5,60.0/5,60.0/5,33.3/3,25.0/4,080,6.56,47.1,70.6,박원규/11,김영민/2331,025,5.94,42.4,,
4,김동경,33,16.7/6,00.0/4,00.0/7,16.7/6,20.0/5,20.0/5,064,4.18,22.7,31.8,서종원/635,김선웅/443,048,5.47,37.5,,
5,장수영,43,22.2/9,57.1/7,50.0/6,37.5/8,40.0/5,00.0/8,099,5.75,41.7,58.3,김승택/435,이휘동/4421,077,3.85,19.2,,
6,길현태,23,33.3/3,60.0/5,00.0/3,25.0/4,50.0/4,50.0/4,093,6.37,46.7,63.3,김민준/14,정인교/616,098,4.84,32.0,,
제 08경주  (일반  14:21    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,A1,10,반혜진,여,37,52,5.43,5.19,19.0,38.1,57.1,0.20,5156 5362,6.01,39.5,F0L0,0.24,17,
2,B2,1,김국흠,남,53,59,5.38,5.00,12.5,37.5,50.0,0.22,4232 4344,4.00,19.6,F0L0,0.42,,
3,B2,16,나종호,남,30,64,4.47,4.00,5.9,23.5,47.1,0.22,3436 4535,4.63,27.9,F0L0,0.45,,
4,A1,11,박진서,남,43,55,5.83,5.72,11.1,33.3,66.7,0.28,3512 2543,6.34,45.2,F0L0,0.11,,
5,B2,16,이수빈,여,30,53,3.39,2.72,0.0,11.1,27.8,0.33,5353 5546,2.60,5.0,F0L0,0.7,,
6,A2,5,박종덕,남,46,56,4.63,4.45,10.5,36.8,47.4,0.19,5324 6266,5.37,41.7,F0L0,0.21,16,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,반혜진,49,87.5/8,42.9/7,50.0/8,22.2/9,22.2/9,00.0/8,029,5.62,44.1,58.8,박상현/225,이택근/216,093,3.96,21.4,,
2,김국흠,28,40.0/5,00.0/5,25.0/4,40.0/5,00.0/4,00.0/5,100,5.24,39.4,48.5,정민수/153,김채현/366,073,6.17,45.8,,
3,나종호,31,50.0/6,20.0/5,00.0/5,40.0/5,40.0/5,00.0/5,052,4.85,36.4,45.5,조성인/2141,김창규/3552,061,4.70,25.9,,
4,박진서,48,87.5/8,62.5/8,57.1/7,25.0/8,25.0/8,11.1/9,026,5.97,43.3,60.0,이승일/331,김국흠/243,104,3.11,5.6,,
5,이수빈,36,00.0/6,16.7/6,00.0/5,00.0/7,16.7/6,00.0/6,044,5.05,31.8,45.5,이지은/551,김명진/551,018,5.42,33.3,,
6,박종덕,39,66.7/6,00.0/6,50.0/8,50.0/6,14.3/7,16.7/6,007,4.50,18.2,40.9,임 건/43,황동규/55,028,5.97,46.9,,
제 09경주  (일반  14:45    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,B1,4,신동길,남,46,61,4.40,4.33,5.0,10.0,35.0,0.23,6643 4434,4.47,14.5,F0L0,0.06,,
2,B2,10,임태경,여,36,50,4.95,4.76,10.5,36.8,42.1,0.26,4236 4551,5.04,33.3,F0L0,0.19,,
3,A2,2,이용세,남,52,56,6.05,5.88,15.0,35.0,70.0,0.18,2363 1334,5.81,32.8,F0L0,0.18,,
4,B1,11,김선웅,남,40,66,4.26,3.84,5.3,15.8,36.8,0.20,4434 6535,4.47,25.5,F0L0,0.36,,
5,A1,1,서화모,남,50,54,4.68,4.37,5.3,21.1,52.6,0.24,6640 2536,5.62,34.6,F0L0,0.4,2,
6,A1,13,김민준,남,36,57,7.00,6.72,50.0,61.1,66.7,0.15,1416 2111,7.46,63.8,F0L0,0.28,17,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,신동길,48,11.1/9,37.5/8,00.0/8,00.0/8,00.0/7,00.0/8,020,4.15,20.6,38.2,황이태/654,김기한/615,057,5.11,31.6,,
2,임태경,25,16.7/6,100.0/2,40.0/5,25.0/4,00.0/4,00.0/4,031,6.33,53.3,73.3,정용진/221,김현덕/233,001,6.12,45.5,,
3,이용세,44,66.7/6,57.1/7,50.0/8,28.6/7,11.1/9,14.3/7,045,5.17,30.6,50.0,박원규/511,이동준/312,015,5.76,35.3,,
4,김선웅,38,50.0/6,40.0/5,37.5/8,33.3/6,14.3/7,00.0/6,097,4.74,13.0,47.8,사재준/343,김국흠/423,056,4.03,21.9,,
5,서화모,30,16.7/6,75.0/4,25.0/4,20.0/5,50.0/6,00.0/5,104,4.94,33.3,44.4,어선규/133,이상문/161,038,5.63,42.1,,
6,김민준,40,83.3/6,77.8/9,50.0/6,37.5/8,33.3/6,40.0/5,027,7.46,61.5,76.9,주은석/1114,홍진수/135,058,5.58,38.7,,
제 10경주  (일반  15:09    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,B2,15,정승호,남,35,61,4.77,2.08,7.7,38.5,46.2,0.18,0140 3440,4.56,28.2,F1L0,2.86,,
2,A2,1,정용진,남,52,56,4.94,4.50,17.6,35.3,47.1,0.19,2214 0641,5.55,43.4,F0L0,0.5,2,
3,B2,8,김민길,남,45,56,7.83,7.64,61.1,77.8,77.8,0.18,1146 2162,6.09,46.8,F0L0,0.23,3,
4,B2,11,김응선,남,39,55,6.63,5.71,42.1,47.4,73.7,0.18,1313 2614,7.06,58.3,F0L0,0.18,,
5,B1,1,윤영근,남,55,54,3.89,3.74,5.3,10.5,36.8,0.19,6663 6633,3.98,16.9,F0L0,0.18,,
6,A1,3,이주영,여,42,55,5.65,5.53,5.9,47.1,58.8,0.24,4222 3516,6.25,49.1,F0L0,0.13,,
