연도,회차,일차,경주번호,경기종류,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2015,10,1,15,플라잉,2,B2,12,박준현,남,31,56,2.17,1.25,0,8.3,8.3,0.27,6602 4564,1,0,F0L0,0,,,10,50.0/2,0.0/1,0.0/2,0.0/1,0.0/2,0.0/2,030,4.65,26.1,42,주은석/62,어선규/334,045,5.84,41.9,
2015,10,1,15,플라잉,3,B1,1,김종목,남,41,55,4.94,4.65,11.8,35.3,47.1,0.31,4442 2525,5.82,45.5,F0L0,0,,,19,0.0/3,100.0/3,0.0/3,33.3/3,66.7/3,0.0/4,011,5.03,32.3,46.9,최영재/34,이종우/226,001,4.92,28.4,
2015,10,1,15,플라잉,4,A1,8,김민길,남,36,58,6.33,5.83,22.2,55.6,66.7,0.25,2612 1223,6.27,53.3,F0L0,0.3,,,25,50.0/4,80.0/5,50.0/4,66.7/3,60.0/5,0.0/4,057,6.72,46.7,72.2,정인교/533,김종민/213,007,4.48,24.7,
2015,10,1,15,플라잉,5,A2,3,이지수,여,35,59,3.93,3.1,6.7,6.7,26.7,0.27,6660 4433,1,0,F0L0,0,08,,11,0.0/2,0.0/1,0.0/2,0.0/2,0.0/2,0.0/2,096,5.13,30.1,47.3,손지영/423,양원준/252,018,5.52,40.4,
2015,10,1,15,플라잉,6,B2,13,이진우,남,27,52,4.29,3.93,0,28.6,35.7,0.21,6253 2442,4.71,28.6,F0L0,0,07,,17,50.0/2,0.0/3,50.0/4,0.0/2,25.0/4,0.0/2,052,4.76,29,46.2,박준호/466,김선필/551,097,4.24,21.4,
2015,10,2,1,플라잉,1,A1,6,문주엽,남,34,58,6.24,6.12,17.6,41.2,70.6,0.24,1224 3334,5.87,33.3,F0L0,0.1,11,일07-4,25,50.0/4,40.0/5,25.0/4,40.0/5,75.0/4,33.3/3,032,4.69,27.7,41.5,강지환/566,장수영/543,043,5.04,28.8,
2015,10,2,1,플라잉,2,B1,11,박진서,남,34,55,4.56,4.47,6.3,18.8,37.5,0.27,6535 4244,5,27.3,F0L0,0.09,08,일08-4,21,33.3/3,25.0/4,25.0/4,0.0/2,0.0/4,0.0/4,092,4.57,25.8,41.6,김인혜/342,김신오/022,100,5.4,37.5,
2015,10,2,1,플라잉,3,A2,1,이태희,남,44,56,6.75,6.59,37.5,50,68.8,0.23,1113 2541,7,50,F0L0,0.18,,"일09-3, 일15-2",22,100.0/3,60.0/5,0.0/3,75.0/4,0.0/4,33.3/3,044,6.22,45.1,58.2,박민수/451,이주영/623,009,5.02,29.8,
2015,10,2,1,플라잉,4,B1,11,김지현,여,28,47,3.13,3.03,0,6.7,26.7,0.27,5655 4526,3.46,7.7,F0L0,0.12,07,일14-6,24,0.0/4,20.0/5,0.0/4,0.0/3,0.0/4,0.0/4,036,4.91,33.3,42.2,김승택/16,김신오/645,033,5.3,32.9,
2015,10,2,1,플라잉,5,A2,8,이동준,남,30,56,6.44,6.16,43.8,56.3,62.5,0.23,1510 2243,6.5,57.1,F0L0,0.32,07,일06-5,25,60.0/5,66.7/3,83.3/6,75.0/4,0.0/3,50.0/4,031,4.45,25.6,34.9,이진휘/66,최영재/111,021,6.17,47.7,
