연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2013,46,1,03R,⑤ 권일혁,① 박정아,⑥ 류성원,(5) 8.9,"(5) 2.2, (1) 1.1",(5-1) 18.6,(1-5) 4.7,(1-5-6) 15.3,-,-,
2013,46,1,04R,① 김응선,② 강지환,③ 김동경,(1) 3.5,"(1) 2.3, (2) 1.4",(1-2) 11.1,(1-2) 5.0,(1-2-3) 12.0,-,-,
2013,46,1,05R,⑤ 박영수,② 어선규,③ 문주엽,(5) 7.4,"(5) 2.4, (2) 1.0",(5-2) 11.4,(2-5) 2.6,(2-3-5) 1.8,-,-,⑥
2013,46,1,06R,① 김민천,② 이응석,⑥ 여현창,(1) 1.5,"(1) 1.2, (2) 1.3",(1-2) 2.2,(1-2) 1.7,(1-2-6) 3.9,-,-,
2013,46,1,07R,④ 강창효,① 권오현,② 김기한,(4) 4.1,"(4) 2.3, (1) 4.2",(4-1) 20.4,(1-4) 11.2,(1-2-4) 6.8,-,-,
2013,46,1,08R,② 정용진,③ 이흥우,④ 김민길,(2) 2.3,"(2) 1.2, (3) 2.4",(2-3) 5.7,(2-3) 3.6,(2-3-4) 4.7,-,-,
2013,46,1,09R,① 이지수,③ 김세원,⑤ 김대선,(1) 3.9,"(1) 2.2, (3) 2.8",(1-3) 16.6,(1-3) 10.1,(1-3-5) 5.6,-,-,
2013,46,1,10R,⑤ 이종우,④ 김국흠,③ 한종석,(5) 7.0,"(5) 2.9, (4) 1.6",(5-4) 26.1,(4-5) 9.0,(3-4-5) 5.8,-,-,
2013,46,1,11R,⑥ 김정민,⑤ 김영욱,① 김현덕,(6) 10.7,"(6) 5.4, (5) 5.5",(6-5) 87.1,(5-6) 42.5,(1-5-6) 81.4,-,-,
2013,46,1,12R,③ 곽현성,⑥ 문주엽,④ 반혜진,(3) 1.7,"(3) 1.1, (6) 2.4",(3-6) 5.4,(3-6) 4.6,(3-4-6) 28.5,-,-,
2013,46,1,13R,④ 민영건,③ 한 운,② 손지영,(4) 6.7,"(4) 2.7, (3) 1.9",(4-3) 32.0,(3-4) 10.9,(2-3-4) 4.5,-,-,
2013,46,1,14R,① 강창효,② 김대선,④ 박정아,(1) 3.3,"(1) 1.4, (2) 1.5",(1-2) 9.8,(1-2) 4.9,(1-2-4) 1.9,-,-,
2013,46,1,15R,① 권일혁,③ 진석현,④ 김강현,(1) 3.9,"(1) 1.5, (3) 1.4",(1-3) 10.2,(1-3) 5.3,(1-3-4) 24.6,-,-,
2013,45,2,01R,① 이종인,④ 류성원,⑤ 이장호,(1) 1.7,"(1) 1.2, (4) 2.3",(1-4) 8.0,(1-4) 5.7,(1-4-5) 23.1,-,-,
2013,45,2,02R,② 원용관,④ 김계영,① 정인교,(2) 3.1,"(2) 1.4, (4) 1.6",(2-4) 9.6,(2-4) 4.8,(1-2-4) 5.2,-,-,
2013,45,2,03R,④ 김국흠,① 유해광,③ 김정구,(4) 3.8,"(4) 2.0, (1) 2.9",(4-1) 16.4,(1-4) 7.9,(1-3-4) 9.4,-,-,
2013,45,2,04R,② 사재준,③ 주은석,① 정용진,(2) 4.5,"(2) 1.3, (3) 1.7",(2-3) 9.8,(2-3) 5.1,(1-2-3) 3.5,-,-,
2013,45,2,05R,⑥ 박정아,④ 김효년,② 문주엽,(6) 5.5,"(6) 1.5, (4) 1.3",(6-4) 11.1,(4-6) 1.9,(2-4-6) 2.8,-,-,⑤
2013,45,2,06R,① 어선규,② 김태규,③ 구현구,(1) 1.3,"(1) 1.1, (2) 5.5",(1-2) 17.3,(1-2) 11.8,(1-2-3) 11.1,-,-,
2013,45,2,07R,① 김신오,④ 권명호,⑥ 이승일,(1) 1.8,"(1) 1.2, (4) 1.5",(1-4) 4.9,(1-4) 2.7,(1-4-6) 3.3,-,-,
2013,45,2,08R,④ 최재원,⑥ 민영건,⑤ 김선필,(4) 16.7,"(4) 1.6, (6) 6.7",(4-6) 106.1,(4-6) 70.1,(4-5-6) 45.4,-,-,
2013,45,2,09R,① 정민수,④ 김세원,③ 조현귀,(1) 1.3,"(1) 1.0, (4) 2.7",(1-4) 3.7,(1-4) 2.9,(1-3-4) 4.0,-,-,
2013,45,2,10R,③ 김민길,① 최영재,④ 우진수,(3) 11.1,"(3) 4.1, (1) 3.0",(3-1) 38.1,(1-3) 17.3,(1-3-4) 37.0,-,-,
2013,45,2,11R,② 김계영,③ 박정아,⑥ 구현구,(2) 2.3,"(2) 1.3, (3) 1.3",(2-3) 5.2,(2-3) 2.4,(2-3-6) 6.7,-,-,
2013,45,2,12R,① 김효년,④ 이종인,② 김종희,(1) 1.3,"(1) 1.2, (4) 2.1",(1-4) 4.0,(1-4) 3.1,(1-2-4) 6.4,-,-,
2013,45,2,13R,① 이승일,③ 김선필,④ 정용진,(1) 1.7,"(1) 1.3, (3) 2.6",(1-3) 5.9,(1-3) 3.9,(1-3-4) 6.3,-,-,
2013,45,2,14R,② 심상철,④ 정민수,① 김기한,(2) 3.2,"(2) 1.7, (4) 1.3",(2-4) 5.5,(2-4) 2.5,(1-2-4) 2.8,-,-,③
2013,45,2,15R,② 김민천,③ 이태희,④ 손지영,(2) 3.0,"(2) 1.9, (3) 2.9",(2-3) 7.8,(2-3) 4.7,(2-3-4) 6.5,-,-,
2013,45,1,01R,② 민영건,① 손제민,④ 김신오,(2) 29.9,"(2) 8.1, (1) 1.1",(2-1) 47.7,(1-2) 8.4,(1-2-4) 6.9,-,-,
2013,45,1,02R,③ 한 진,④ 강지환,① 이동준,(3) 1.8,"(3) 1.1, (4) 2.5",(3-4) 6.0,(3-4) 5.1,(1-3-4) 4.8,-,-,
2013,45,1,03R,① 손지영,④ 김종희,⑥ 이재학,(1) 1.5,"(1) 1.2, (4) 2.5",(1-4) 8.0,(1-4) 6.2,(1-4-6) 3.3,-,-,
2013,45,1,04R,⑤ 이미나,⑥ 주은석,④ 김정민,(5) 3.4,"(5) 2.2, (6) 2.4",(5-6) 9.7,(5-6) 6.0,(4-5-6) 13.2,-,-,
2013,45,1,05R,⑥ 이종인,② 정민수,⑤ 김계영,(6) 10.1,"(6) 2.6, (2) 1.1",(6-2) 26.5,(2-6) 5.2,(2-5-6) 3.6,-,-,
2013,45,1,06R,② 김정구,① 심상철,⑤ 이승일,(2) 7.2,"(2) 2.1, (1) 1.7",(2-1) 15.3,(1-2) 5.2,(1-2-5) 5.1,-,-,
2013,45,1,07R,③ 이태희,④ 김기한,② 정용진,(3) 1.9,"(3) 1.4, (4) 2.3",(3-4) 6.2,(3-4) 4.2,(2-3-4) 2.8,-,-,
2013,45,1,08R,① 김민천,③ 원용관,⑤ 류성원,(1) 1.9,"(1) 1.3, (3) 2.8",(1-3) 12.1,(1-3) 10.0,(1-3-5) 31.1,-,-,
2013,45,1,09R,① 권명호,② 이경원,⑤ 나병창,(1) 2.6,"(1) 1.5, (2) 2.8",(1-2) 13.8,(1-2) 9.6,(1-2-5) 7.9,-,-,
2013,45,1,10R,⑥ 김효년,① 구현구,② 한종석,(6) 1.7,"(6) 1.2, (1) 2.4",(6-1) 5.1,(1-6) 3.7,(1-2-6) 9.5,-,-,
2013,45,1,11R,② 오세준,① 김선필,⑤ 유해광,(2) 8.2,"(2) 3.8, (1) 1.7",(2-1) 23.6,(1-2) 8.5,(1-2-5) 25.4,-,-,
2013,45,1,12R,② 박정아,⑥ 정민수,③ 최영재,(2) 5.2,"(2) 1.8, (6) 2.2",(2-6) 15.3,(2-6) 8.9,(2-3-6) 33.0,-,-,
2013,45,1,13R,① 이미나,④ 손지영,⑤ 한 진,(1) 4.9,"(1) 2.0, (4) 1.5",(1-4) 13.2,(1-4) 5.6,(1-4-5) 5.3,-,-,
2013,45,1,14R,① 이재학,⑥ 이태희,⑤ 여현창,(1) 2.4,"(1) 1.3, (6) 2.3",(1-6) 6.0,(1-6) 4.6,(1-5-6) 21.5,-,-,
2013,45,1,15R,⑥ 김민천,① 나병창,③ 김계영,(6) 10.7,"(6) 4.8, (1) 2.8",(6-1) 94.4,(1-6) 37.0,(1-3-6) 62.6,-,-,
2013,44,2,01R,④ 이승일,① 김계영,③ 오세준,(4) 4.1,"(4) 1.9, (1) 1.9",(4-1) 8.1,(1-4) 4.6,(1-3-4) 2.0,-,-,
2013,44,2,02R,⑥ 유해광,⑤ 강지환,① 이장호,(6) 3.0,"(6) 2.2, (5) 7.3",(6-5) 25.0,(5-6) 13.9,(1-5-6) 10.9,-,-,
2013,44,2,03R,③ 지현욱,⑥ 박정아,② 손제민,(3) 6.8,"(3) 1.9, (6) 2.1",(3-6) 16.1,(3-6) 7.3,(2-3-6) 3.1,-,-,
2013,44,2,04R,④ 신동길,⑥ 박종덕,⑤ 조현귀,(4) 7.1,"(4) 2.8, (6) 3.3",(4-6) 35.9,(4-6) 19.2,(4-5-6) 16.1,-,-,
2013,44,2,05R,③ 박석문,① 이태희,④ 박설희,(3) 2.9,"(3) 1.4, (1) 1.4",(3-1) 5.7,(1-3) 2.0,(1-3-4) 10.1,-,-,
2013,44,2,06R,① 원용관,③ 김명진,⑥ 기광서,(1) 9.9,"(1) 4.4, (3) 2.6",(1-3) 41.1,(1-3) 19.8,(1-3-6) 100.6,-,-,
2013,44,2,07R,⑥ 어선규,① 나병창,⑤ 구현구,(6) 2.9,"(6) 1.7, (1) 1.1",(6-1) 4.4,(1-6) 2.0,(1-5-6) 2.3,-,-,
2013,44,2,08R,④ 한종석,⑤ 문주엽,② 조성인,(4) 3.2,"(4) 1.6, (5) 2.9",(4-5) 16.2,(4-5) 13.8,(2-4-5) 9.8,-,-,
2013,44,2,09R,③ 김효년,④ 송효석,② 박규순,(3) 1.3,"(3) 1.0, (4) 2.7",(3-4) 3.0,(3-4) 2.7,(2-3-4) 5.3,-,-,
2013,44,2,10R,② 이승일,③ 정인교,④ 김강현,(2) 1.9,"(2) 1.7, (3) 1.2",(2-3) 4.4,(2-3) 2.3,(2-3-4) 13.2,-,-,
2013,44,2,11R,④ 유근영,① 정훈민,② 임태경,(4) 3.8,"(4) 1.8, (1) 2.1",(4-1) 16.4,(1-4) 9.1,(1-2-4) 9.8,-,-,
2013,44,2,12R,③ 이경섭,② 어선규,④ 송종해,(3) 6.2,"(3) 2.0, (2) 1.0",(3-2) 9.1,(2-3) 1.9,(2-3-4) 4.6,-,-,
2013,44,2,13R,② 박정아,⑥ 한 진,③ 경상수,(2) 1.3,"(2) 1.1, (6) 2.8",(2-6) 4.9,(2-6) 3.7,(2-3-6) 5.2,-,-,
2013,44,2,14R,④ 이태희,① 정민수,⑥ 원용관,(4) 4.7,"(4) 2.0, (1) 1.0",(4-1) 5.6,(1-4) 1.7,(1-4-6) 4.3,-,-,
2013,44,2,15R,⑤ 김효년,③ 조현귀,⑥ 지현욱,(5) 1.8,"(5) 1.2, (3) 3.3",(5-3) 8.3,(3-5) 6.6,(3-5-6) 14.1,-,-,
2013,44,1,01R,⑤ 장수영,③ 박정아,② 유근영,(5) 6.0,"(5) 1.6, (3) 1.4",(5-3) 10.4,(3-5) 3.7,(2-3-5) 1.6,-,-,⑥
2013,44,1,02R,④ 정훈민,① 류성원,⑥ 조성인,(4) 5.8,"(4) 4.1, (1) 3.3",(4-1) 52.2,(1-4) 21.9,(1-4-6) 27.2,-,-,
2013,44,1,03R,① 경상수,⑤ 송효석,② 김선필,(1) 2.9,"(1) 1.7, (5) 2.4",(1-5) 9.3,(1-5) 7.7,(1-2-5) 7.1,-,-,
2013,44,1,04R,⑥ 이미나,④ 손제민,① 문주엽,(6) 17.6,"(6) 6.4, (4) 1.6",(6-4) 62.6,(4-6) 13.7,(1-4-6) 11.0,-,-,
2013,44,1,05R,③ 유해광,① 구본협,④ 최영재,(3) 3.0,"(3) 1.3, (1) 4.6",(3-1) 23.7,(1-3) 17.2,(1-3-4) 26.1,-,-,
2013,44,1,06R,⑤ 정민수,① 김정구,④ 박석문,(5) 5.4,"(5) 2.4, (1) 1.4",(5-1) 12.5,(1-5) 4.9,(1-4-5) 5.3,-,-,
2013,44,1,07R,⑥ 이장호,④ 원용관,① 조현귀,(6) 8.9,"(6) 2.2, (4) 5.0",(6-4) 55.6,(4-6) 29.2,(1-4-6) 14.2,-,-,
2013,44,1,08R,③ 조성인,④ 황만주,① 박영수,(3) 3.5,"(3) 1.3, (4) 2.1",(3-4) 7.2,(3-4) 5.2,(1-3-4) 3.7,-,-,
2013,44,1,09R,① 오세준,⑤ 한종석,⑥ 김명진,(1) 1.5,"(1) 1.1, (5) 1.8",(1-5) 3.4,(1-5) 2.4,(1-5-6) 5.5,-,-,②
2013,44,1,10R,⑤ 이경섭,① 한 진,③ 이미나,(5) 4.8,"(5) 2.6, (1) 1.8",(5-1) 11.0,(1-5) 3.9,(1-3-5) 4.8,-,-,
2013,44,1,11R,① 장수영,⑥ 류성원,④ 김계영,(1) 1.5,"(1) 1.1, (6) 4.4",(1-6) 12.9,(1-6) 10.1,(1-4-6) 6.5,-,-,
2013,44,1,12R,③ 정민수,② 지현욱,① 구현구,(3) 2.6,"(3) 1.3, (2) 1.8",(3-2) 8.6,(2-3) 4.2,(1-2-3) 6.3,-,-,
2013,44,1,13R,① 김효년,③ 민영건,② 최영재,(1) 1.2,"(1) 1.0, (3) 4.6",(1-3) 5.9,(1-3) 4.9,(1-2-3) 8.3,-,-,
2013,44,1,14R,② 정인교,④ 어선규,① 한종석,(2) 3.5,"(2) 1.9, (4) 1.2",(2-4) 5.1,(2-4) 2.1,(1-2-4) 1.8,-,-,
2013,44,1,15R,③ 나병창,⑤ 이태희,④ 이지수,(3) 1.7,"(3) 1.1, (5) 2.4",(3-5) 3.9,(3-5) 2.9,(3-4-5) 6.8,-,-,
2013,43,2,01R,⑤ 이태희,③ 김기한,④ 박재경,(5) 6.8,"(5) 2.3, (3) 1.3",(5-3) 24.2,(3-5) 9.6,(3-4-5) 11.8,-,-,
2013,43,2,02R,① 이미나,② 김동경,⑤ 김세원,(1) 3.3,"(1) 2.3, (2) 5.8",(1-2) 23.9,(1-2) 15.7,(1-2-5) 19.6,-,-,
2013,43,2,03R,⑥ 박민수,③ 서화모,② 조현귀,(6) 5.2,"(6) 1.7, (3) 3.0",(6-3) 45.7,(3-6) 17.2,(2-3-6) 15.2,-,-,
2013,43,2,04R,② 윤영일,④ 주은석,⑤ 손근성,(2) 3.2,"(2) 2.3, (4) 1.6",(2-4) 6.6,(2-4) 4.0,(2-4-5) 5.3,-,-,
2013,43,2,05R,④ 김영욱,① 이동준,⑤ 김종민,(4) 7.4,"(4) 2.5, (1) 1.4",(4-1) 39.5,(1-4) 12.8,(1-4-5) 3.8,-,-,
2013,43,2,06R,⑤ 길현태,② 김승택,④ 이용세,(5) 3.6,"(5) 1.7, (2) 1.9",(5-2) 8.9,(2-5) 3.7,(2-4-5) 5.5,-,-,
2013,43,2,07R,① 어선규,② 김희용,④ 한 운,(1) 1.2,"(1) 1.0, (2) 2.9",(1-2) 4.9,(1-2) 4.6,(1-2-4) 14.8,-,-,
2013,43,2,08R,② 정민수,⑤ 김종희,① 김세원,(2) 1.5,"(2) 1.0, (5) 4.9",(2-5) 8.4,(2-5) 7.4,(1-2-5) 4.5,-,-,
2013,43,2,09R,① 이시원,④ 우진수,② 최재원,(1) 3.7,"(1) 2.2, (4) 3.6",(1-4) 31.2,(1-4) 19.3,(1-2-4) 5.1,-,-,⑥
2013,43,2,10R,① 박민수,⑤ 구현구,③ 권명호,(1) 2.5,"(1) 1.4, (5) 2.1",(1-5) 6.9,(1-5) 4.2,(1-3-5) 4.8,-,-,
2013,43,2,11R,③ 심상철,⑥ 김신오,⑤ 이미나,(3) 1.7,"(3) 1.2, (6) 2.6",(3-6) 6.3,(3-6) 4.9,(3-5-6) 4.6,-,-,
2013,43,2,12R,① 이태희,⑤ 조현귀,③ 김도환,(1) 1.5,"(1) 1.4, (5) 2.2",(1-5) 6.6,(1-5) 5.0,(1-3-5) 6.7,-,-,
2013,43,2,13R,③ 전두식,① 문주엽,⑤ 신승지,(3) 3.9,"(3) 1.9, (1) 3.0",(3-1) 31.5,(1-3) 17.5,(1-3-5) 19.6,-,-,
2013,43,2,14R,① 곽현성,⑤ 어선규,③ 사재준,(1) 5.6,"(1) 1.9, (5) 1.2",(1-5) 11.7,(1-5) 4.7,(1-3-5) 2.1,-,-,
2013,43,2,15R,③ 김종민,④ 정민수,⑥ 김승택,(3) 1.2,"(3) 1.0, (4) 1.5",(3-4) 2.3,(3-4) 1.8,(3-4-6) 3.3,-,-,
2013,43,1,01R,⑤ 전두식,④ 박민수,① 김태규,(5) 17.9,"(5) 5.3, (4) 1.1",(5-4) 45.9,(4-5) 11.8,(1-4-5) 16.8,-,-,
2013,43,1,02R,③ 이종인,② 구본수,④ 김동경,(3) 3.7,"(3) 1.8, (2) 3.5",(3-2) 19.0,(2-3) 9.1,(2-3-4) 18.4,-,-,
2013,43,1,03R,⑥ 진석현,⑤ 이동준,① 이흥우,(6) 10.2,"(6) 2.7, (5) 1.5",(6-5) 16.9,(5-6) 5.2,(1-5-6) 4.2,-,-,
2013,43,1,04R,③ 어선규,① 김영욱,④ 손동민,(3) 1.5,"(3) 1.3, (1) 1.6",(3-1) 3.3,(1-3) 2.0,(1-3-4) 3.5,-,-,
2013,43,1,05R,③ 정민수,① 조현귀,④ 이미나,(3) 1.5,"(3) 1.2, (1) 1.5",(3-1) 3.3,(1-3) 1.9,(1-3-4) 3.6,-,-,
2013,43,1,06R,④ 김응선,② 김기한,⑥ 주은석,(4) 8.6,"(4) 6.0, (2) 1.5",(4-2) 31.6,(2-4) 11.0,(2-4-6) 13.1,-,-,
2013,43,1,07R,② 박재경,① 김종목,④ 김정민,(2) 4.8,"(2) 2.5, (1) 1.2",(2-1) 13.9,(1-2) 4.5,(1-2-4) 3.7,-,-,
2013,43,1,08R,② 신승지,① 김도환,③ 구현구,(2) 4.1,"(2) 1.9, (1) 3.9",(2-1) 23.4,(1-2) 12.5,(1-2-3) 7.5,-,-,
2013,43,1,09R,③ 손근성,② 김신오,⑥ 김강현,(3) 5.5,"(3) 2.4, (2) 1.6",(3-2) 18.0,(2-3) 6.4,(2-3-6) 46.6,-,-,
2013,43,1,10R,② 김종민,⑤ 심상철,⑥ 최재원,(2) 2.3,"(2) 1.5, (5) 2.0",(2-5) 4.9,(2-5) 3.0,(2-5-6) 8.0,-,-,
2013,43,1,11R,③ 이동준,② 권명호,① 한 운,(3) 1.9,"(3) 1.3, (2) 2.2",(3-2) 6.3,(2-3) 3.4,(1-2-3) 12.9,-,-,
2013,43,1,12R,① 전정환,④ 김대선,⑤ 이흥우,(1) 3.8,"(1) 1.8, (4) 3.5",(1-4) 12.5,(1-4) 8.4,(1-4-5) 17.2,-,-,
2013,43,1,13R,① 사재준,⑥ 조현귀,② 이용세,(1) 2.0,"(1) 1.4, (6) 2.9",(1-6) 9.1,(1-6) 7.7,(1-2-6) 8.7,-,-,
2013,43,1,14R,② 김응선,① 서화모,③ 곽현성,(2) 7.9,"(2) 3.6, (1) 1.9",(2-1) 29.4,(1-2) 13.3,(1-2-3) 12.0,-,-,
2013,43,1,15R,⑥ 어선규,② 진석현,④ 김종목,(6) 2.9,"(6) 1.2, (2) 1.5",(6-2) 5.3,(2-6) 2.3,(2-4-6) 2.0,-,-,
2013,42,2,01R,① 최재원,⑥ 김민길,④ 김국흠,(1) 1.9,"(1) 1.5, (6) 2.9",(1-6) 13.2,(1-6) 9.4,(1-4-6) 5.4,-,-,
2013,42,2,02R,④ 조성인,⑥ 김효년,⑤ 이장호,(4) 15.4,"(4) 3.8, (6) 1.2",(4-6) 22.5,(4-6) 5.6,(4-5-6) 10.0,-,-,
2013,42,2,03R,③ 여현창,② 강창효,① 정용진,(3) 5.9,"(3) 3.3, (2) 2.3",(3-2) 55.5,(2-3) 25.0,(1-2-3) 8.3,-,-,
2013,42,2,04R,① 박석문,② 유해광,⑤ 기광서,(1) 3.2,"(1) 2.1, (2) 1.5",(1-2) 5.3,(1-2) 3.2,(1-2-5) 39.1,-,-,
2013,42,2,05R,① 한종석,② 김정구,⑤ 홍기철,(1) 3.8,"(1) 2.6, (2) 2.4",(1-2) 19.4,(1-2) 9.5,(1-2-5) 15.6,-,-,
2013,42,2,06R,④ 어선규,① 정민수,② 정종훈,(4) 3.8,"(4) 1.4, (1) 1.3",(4-1) 7.5,(1-4) 3.0,(1-2-4) 2.5,-,-,
2013,42,2,07R,① 주은석,② 김지현,④ 오세준,(1) 1.4,"(1) 1.2, (2) 3.9",(1-2) 6.3,(1-2) 5.5,(1-2-4) 10.1,-,-,
2013,42,2,08R,③ 진석현,② 신동길,⑤ 손지영,(3) 6.5,"(3) 2.5, (2) 1.5",(3-2) 13.9,(2-3) 5.4,(2-3-5) 4.8,-,-,
2013,42,2,09R,④ 고일수,⑤ 이경원,③ 김계영,(4) 3.4,"(4) 1.7, (5) 2.8",(4-5) 10.4,(4-5) 6.5,(3-4-5) 6.7,-,-,
2013,42,2,10R,③ 길현태,⑥ 정용진,① 구본수,(3) 1.6,"(3) 1.1, (6) 2.3",(3-6) 3.5,(3-6) 2.8,(1-3-6) 3.7,-,-,
2013,42,2,11R,⑤ 최재원,③ 류성원,① 김효년,(5) 9.1,"(5) 2.3, (3) 2.4",(5-3) 56.3,(3-5) 24.2,(1-3-5) 5.3,-,-,
2013,42,2,12R,② 나병창,④ 정주현,① 권현기,(2) 2.0,"(2) 1.4, (4) 1.6",(2-4) 6.0,(2-4) 3.8,(1-2-4) 4.3,-,-,
2013,42,2,13R,④ 신동길,⑥ 박규순,⑤ 김강현,(4) 3.9,"(4) 1.7, (6) 4.9",(4-6) 27.5,(4-6) 18.8,(4-5-6) 55.5,-,-,
2013,42,2,14R,③ 손지영,② 이장호,④ 김영민,(3) 1.8,"(3) 1.5, (2) 3.6",(3-2) 12.0,(2-3) 8.6,(2-3-4) 14.7,-,-,
2013,42,2,15R,① 장수영,④ 김정구,② 김영욱,(1) 1.7,"(1) 1.6, (4) 2.4",(1-4) 4.6,(1-4) 3.9,(1-2-4) 4.4,-,-,
2013,42,1,01R,④ 손지영,⑥ 홍기철,⑤ 정주현,(4) 1.5,"(4) 1.2, (6) 1.8",(4-6) 4.0,(4-6) 2.6,(4-5-6) 4.0,-,-,
2013,42,1,02R,⑤ 주은석,① 김영민,② 김계영,(5) 2.0,"(5) 1.6, (1) 3.7",(5-1) 8.9,(1-5) 6.6,(1-2-5) 5.8,-,-,
2013,42,1,03R,① 이승일,⑥ 신동길,④ 구현구,(1) 1.8,"(1) 1.3, (6) 2.0",(1-6) 5.4,(1-6) 4.1,(1-4-6) 6.9,-,-,
2013,42,1,04R,① 어선규,② 강영길,⑥ 김민천,(1) 1.6,"(1) 1.2, (2) 5.1",(1-2) 17.5,(1-2) 12.8,(1-2-6) 10.5,-,-,
2013,42,1,05R,③ 김효년,④ 구본수,② 박영수,(3) 1.5,"(3) 1.1, (4) 3.1",(3-4) 4.6,(3-4) 4.4,(2-3-4) 5.0,-,-,
2013,42,1,06R,⑤ 정종훈,① 강지환,② 조성인,(5) 8.5,"(5) 2.2, (1) 2.7",(5-1) 42.4,(1-5) 15.7,(1-2-5) 43.5,-,-,
2013,42,1,07R,⑥ 윤영근,⑤ 강창효,③ 김민길,(6) 13.5,"(6) 4.8, (5) 10.2",(6-5) 144.3,(5-6) 60.3,(3-5-6) 83.8,-,-,
2013,42,1,08R,④ 박석문,⑥ 김강현,⑤ 나병창,(4) 3.9,"(4) 1.8, (6) 21.3",(4-6) 134.9,(4-6) 84.5,(4-5-6) 37.7,-,-,
2013,42,1,09R,③ 김선필,⑤ 류성원,② 송효석,(3) 8.2,"(3) 2.0, (5) 4.2",(3-5) 47.0,(3-5) 23.5,(2-3-5) 70.6,-,-,
2013,42,1,10R,② 이지수,③ 김민천,⑥ 김계영,(2) 17.5,"(2) 4.1, (3) 1.3",(2-3) 30.6,(2-3) 8.9,(2-3-6) 11.2,-,-,
2013,42,1,11R,⑤ 유해광,④ 정용진,③ 고일수,(5) 4.5,"(5) 2.1, (4) 2.0",(5-4) 14.6,(4-5) 5.5,(3-4-5) 4.4,-,-,
2013,42,1,12R,① 정주현,③ 주은석,⑥ 황만주,(1) 5.5,"(1) 1.8, (3) 1.2",(1-3) 9.4,(1-3) 3.3,(1-3-6) 9.1,-,-,
